Matricule;TrainingName;Date;Sequence;SequenceTime;CenterEyePosX;CenterEyePosY;CenterEyePosZ;CenterEyeRotX;CenterEyeRotY;CenterEyeRotZ;CenterEyeRotW;LeftHandPosX;LeftHandPosY;LeftHandPosZ;LeftHandRotX;LeftHandRotY;LeftHandRotZ;LeftHandRotW;RightHandPosX;RightHandPosY;RightHandPosZ;RightHandRotX;RightHandRotY;RightHandRotZ;RightHandRotW
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,40000009164214;-0,2695019;1,698179;0,5775324;0,03512543;-0,0516715;0,01049364;0,9979911;-0,4829404;0,8285835;0,6318569;0,4353401;0,08040652;-0,417329;0,7936312;-0,1501891;1,210428;0,7231914;0,1425347;0,07300076;-0,01243204;0,9870158
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,42000009119511;-0,2691731;1,697209;0,5770316;0,03952376;-0,05193585;0,009992003;0,9978181;-0,4831985;0,8288026;0,6318294;0,435104;0,07957113;-0,4172316;0,793896;-0,150454;1,21084;0,7225815;0,141892;0,07237279;-0,0133066;0,9871433
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,44000009074807;-0,2689739;1,696712;0,5767568;0,04182026;-0,05169162;0,009967469;0,9977373;-0,4833011;0,8289538;0,6318325;0,4348946;0,07914964;-0,4171908;0,7940743;-0,1506256;1,211093;0,7223265;0,1414307;0,07269478;-0,01246555;0,9871968
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,46000009030104;-0,2682915;1,695558;0,5763128;0,04629494;-0,05035582;0,008960636;0,9976176;-0,4834156;0,8292938;0,6318359;0,4344239;0,07846349;-0,4172102;0,7943898;-0,151112;1,21252;0,7211829;0,1361815;0,07224771;-0,009507004;0,9880003
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,480000089854;-0,2677944;1,694965;0,576053;0,0488409;-0,04919645;0,008488495;0,9975582;-0,4833724;0,8294856;0,6317955;0,4341693;0,07841412;-0,4172682;0,7945033;-0,1512684;1,213332;0,7207071;0,1325143;0,07226017;-0,007278383;0,9885168
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,50000008940697;-0,2671865;1,694397;0,5758603;0,0513832;-0,04798808;0,008227498;0,9974914;-0,4833555;0,829642;0,6317798;0,4339354;0,07840803;-0,417366;0,7945803;-0,1513024;1,214086;0,720231;0,1291339;0,07284548;-0,004943788;0,9889356
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,52000008895993;-0,2659517;1,693407;0,5754707;0,05587161;-0,04442438;0,007964393;0,9974174;-0,4832752;0,8299346;0,6318593;0,4332977;0,07820413;-0,4175616;0,7948457;-0,1509791;1,215985;0,7193052;0,123579;0,07417795;-0,003030919;0,9895538
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,5400000885129;-0,2652633;1,692867;0,5753226;0,05784331;-0,04257545;0,007903108;0,9973862;-0,4831671;0,8300818;0,6319349;0,4328116;0,07815925;-0,417775;0,7950028;-0,1506481;1,217219;0,718826;0,1204332;0,07501233;-0,003712948;0,9898764
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,56000008806586;-0,26384;1,691605;0,5749557;0,06158489;-0,03871644;0,007804506;0,9973202;-0,4828905;0,8302183;0,6319822;0,4321657;0,0786635;-0,4185589;0,7948921;-0,1497647;1,219865;0,7175382;0,1092786;0,07593045;-0,006613065;0,9910848
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,58000008761883;-0,2630934;1,691009;0,5746933;0,06389651;-0,03661996;0,00782498;0,9972538;-0,48268;0,8302515;0,6319817;0,4318391;0,07933468;-0,4192172;0,7946559;-0,149316;1,220919;0,7169596;0,1047978;0,07633266;-0,005670287;0,9915436
08;Baseball Séquence 360;2025-05-27-14-59-08;1;6,60000008717179;-0,26159;1,689815;0,5741263;0,06868559;-0,03295827;0,007463995;0,9970659;-0,4820754;0,8303231;0,6320148;0,4310533;0,08130637;-0,4209207;0,7939825;-0,1481068;1,222531;0,7160581;0,102433;0,07821697;-0,004460901;0,99165
