section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368504467431,552.952,776.462,1,42,29,-1.0089119777605937,-17.400432102578577
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368508437431,560.029,776.086,1,42,29,-0.46147207257495576,-17.37300211976178
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368516512431,566.394,771.254,1,42,29,0.030701510617809506,-17.01103688360034
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368520433431,565.834,768.786,1,42,29,-0.012515836204727834,-16.826029249933644
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368524452431,568.351,767.464,1,42,29,0.1816209118782024,-16.727011706762507
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368528451431,573.741,771.415,1,42,29,0.5981694358911261,-17.022844361881496
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368536446431,579.998,765.719,1,42,29,1.0797895142247165,-16.5953020388528
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368540539431,583.711,763.242,1,42,29,1.3652617817124097,-16.409190310622844
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368544471431,582.222,761.685,1,42,29,1.2499576545341025,-16.29272307109192
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368548436431,578.805,759.65,1,42,,0.9861748752549988,-16.14066827873508
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368556587431,575.902,754.959,1,42,,0.7617052035599549,-15.789442272853925
27d80d6b-1b49-41ca-a125-fbd4ee0d65ef,afd3e1e3-3916-48ef-860c-3a66f8e3b737,1629390368560446431,575.142,753.052,1,42,,0.7029093404116338,-15.646595622001438
